may 29th

hypernetwork code results in output shape of (32,32,3).

Therfore 1st and the last cnn layer does not include hypernetwork.

Name                                          | Label      |        PC1 |        PC2
zs_unetblocks.7.z_list.103                    | unetblock  |   -0.23040 |   -0.46293
zs_unetblocks.7.z_list.104                    | unetblock  |    0.12621 |    1.00599
zs_unetblocks.7.z_list.105                    | unetblock  |    0.45986 |   -0.39327
zs_unetblocks.7.z_list.106                    | unetblock  |    0.12061 |   -0.04792
zs_unetblocks.7.z_list.107                    | unetblock  |   -0.98244 |   -1.93792
zs_unetblocks.7.z_list.108                    | unetblock  |    0.52507 |    0.66151
zs_unetblocks.7.z_list.109                    | unetblock  |   -1.57534 |    1.41082
zs_unetblocks.7.z_list.110                    | unetblock  |   -0.97763 |    0.41359
zs_unetblocks.7.z_list.111                    | unetblock  |    1.23579 |   -0.51278
zs_unetblocks.7.z_list.112                    | unetblock  |    0.48200 |   -1.28850
zs_unetblocks.7.z_list.113                    | unetblock  |   -1.51932 |    0.33487
zs_unetblocks.7.z_list.114                    | unetblock  |   -0.56807 |    0.09362
zs_unetblocks.7.z_list.115                    | unetblock  |   -0.77867 |    0.60814
zs_unetblocks.7.z_list.116                    | unetblock  |   -0.95432 |   -0.55727
zs_unetblocks.7.z_list.117                    | unetblock  |    0.83868 |   -2.20795
zs_unetblocks.7.z_list.118                    | unetblock  |    1.39276 |   -0.56451
zs_unetblocks.7.z_list.119                    | unetblock  |   -1.33997 |    0.46090
zs_unetblocks.7.z_list.120                    | unetblock  |    0.10586 |   -0.20533
zs_unetblocks.7.z_list.121                    | unetblock  |    1.20313 |   -1.46831
zs_unetblocks.7.z_list.122                    | unetblock  |   -0.34533 |    0.89445
zs_unetblocks.7.z_list.123                    | unetblock  |   -0.00674 |   -1.76672
zs_unetblocks.7.z_list.124                    | unetblock  |   -0.86088 |   -0.97096
zs_unetblocks.7.z_list.125                    | unetblock  |   -0.10684 |   -3.14082
zs_unetblocks.7.z_list.126                    | unetblock  |   -0.01295 |   -1.53224
zs_unetblocks.7.z_list.127                    | unetblock  |   -0.43364 |    0.34787
zs_unetblocks.8.z_list.0                      | unetblock  |    0.42084 |    0.40000
zs_unetblocks.8.z_list.1                      | unetblock  |    1.22142 |   -0.63889
zs_unetblocks.8.z_list.2                      | unetblock  |    0.94670 |   -1.09048
zs_unetblocks.8.z_list.3                      | unetblock  |    0.17320 |   -0.57364
zs_unetblocks.8.z_list.4                      | unetblock  |   -0.37075 |   -0.43809
zs_unetblocks.8.z_list.5                      | unetblock  |    1.18157 |   -1.90782
zs_unetblocks.8.z_list.6                      | unetblock  |   -0.52520 |   -0.61841
zs_unetblocks.8.z_list.7                      | unetblock  |   -0.52968 |   -1.22752
zs_unetblocks.8.z_list.8                      | unetblock  |    1.30028 |   -0.13997
zs_unetblocks.8.z_list.9                      | unetblock  |   -1.27881 |   -0.54976
zs_unetblocks.8.z_list.10                     | unetblock  |    1.11900 |   -1.88114
zs_unetblocks.8.z_list.11                     | unetblock  |    0.26995 |    0.39655
zs_unetblocks.8.z_list.12                     | unetblock  |    0.08401 |   -1.31678
zs_unetblocks.8.z_list.13                     | unetblock  |   -0.54585 |   -0.77895
zs_unetblocks.8.z_list.14                     | unetblock  |    1.99341 |    0.54302
zs_unetblocks.8.z_list.15                     | unetblock  |    0.81133 |    0.07341
zs_unetblocks.8.z_list.16                     | unetblock  |   -1.70280 |    1.47362
zs_unetblocks.8.z_list.17                     | unetblock  |    1.32699 |    2.34736
zs_unetblocks.8.z_list.18                     | unetblock  |    0.28375 |    0.05117
zs_unetblocks.8.z_list.19                     | unetblock  |   -0.29019 |    0.63255
zs_unetblocks.8.z_list.20                     | unetblock  |   -1.21489 |   -1.05043
zs_unetblocks.8.z_list.21                     | unetblock  |   -0.56677 |   -0.40059
zs_unetblocks.8.z_list.22                     | unetblock  |    1.33160 |    0.31579
zs_unetblocks.8.z_list.23                     | unetblock  |    1.46214 |    0.78095
zs_unetblocks.8.z_list.24                     | unetblock  |    2.53517 |    0.32902
zs_unetblocks.8.z_list.25                     | unetblock  |    0.72463 |    0.29752
zs_unetblocks.8.z_list.26                     | unetblock  |   -1.14781 |    0.13771
zs_unetblocks.8.z_list.27                     | unetblock  |    0.87282 |    1.00059
zs_unetblocks.8.z_list.28                     | unetblock  |   -0.24436 |    1.44374
zs_unetblocks.8.z_list.29                     | unetblock  |    0.39363 |    0.40809
zs_unetblocks.8.z_list.30                     | unetblock  |   -1.09809 |   -0.21809
zs_unetblocks.8.z_list.31                     | unetblock  |    0.47757 |   -0.17809
zs_unetblocks.8.z_list.32                     | unetblock  |   -1.21714 |   -1.08975
zs_unetblocks.8.z_list.33                     | unetblock  |   -0.07492 |    0.90861
zs_unetblocks.8.z_list.34                     | unetblock  |   -1.57640 |   -0.54017
zs_unetblocks.8.z_list.35                     | unetblock  |   -1.05326 |   -0.40149
zs_unetblocks.8.z_list.36                     | unetblock  |    0.81359 |   -1.81709
zs_unetblocks.8.z_list.37                     | unetblock  |   -0.85646 |    0.43815
zs_unetblocks.8.z_list.38                     | unetblock  |    0.27468 |   -0.32314
zs_unetblocks.8.z_list.39                     | unetblock  |   -0.59566 |   -0.12987
zs_unetblocks.8.z_list.40                     | unetblock  |    1.00173 |   -0.41599
zs_unetblocks.8.z_list.41                     | unetblock  |   -0.50758 |    0.28775
zs_unetblocks.8.z_list.42                     | unetblock  |    0.34890 |   -0.61979
zs_unetblocks.8.z_list.43                     | unetblock  |   -0.10057 |    1.04305
zs_unetblocks.8.z_list.44                     | unetblock  |   -1.79426 |    1.55727
zs_unetblocks.8.z_list.45                     | unetblock  |    0.70571 |    0.68496
zs_unetblocks.8.z_list.46                     | unetblock  |   -0.43017 |    0.73784
zs_unetblocks.8.z_list.47                     | unetblock  |    1.42378 |    1.08981
zs_unetblocks.8.z_list.48                     | unetblock  |    0.31704 |    1.47120
zs_unetblocks.8.z_list.49                     | unetblock  |   -0.01597 |   -0.57034
zs_unetblocks.8.z_list.50                     | unetblock  |    1.78327 |    1.03987
zs_unetblocks.8.z_list.51                     | unetblock  |    1.08418 |   -0.57154
zs_unetblocks.8.z_list.52                     | unetblock  |   -0.05943 |    2.15016
zs_unetblocks.8.z_list.53                     | unetblock  |   -1.17773 |    0.05780
zs_unetblocks.8.z_list.54                     | unetblock  |   -1.07583 |   -0.30045
zs_unetblocks.8.z_list.55                     | unetblock  |    0.10877 |   -0.81702
zs_unetblocks.8.z_list.56                     | unetblock  |    2.17019 |   -0.71977
zs_unetblocks.8.z_list.57                     | unetblock  |    2.17562 |    0.00871
zs_unetblocks.8.z_list.58                     | unetblock  |    1.57762 |    0.21139
zs_unetblocks.8.z_list.59                     | unetblock  |    0.60254 |   -1.49609
zs_unetblocks.8.z_list.60                     | unetblock  |    0.78935 |   -1.25666
zs_unetblocks.8.z_list.61                     | unetblock  |    2.01990 |    0.73810
zs_unetblocks.8.z_list.62                     | unetblock  |    0.10753 |   -0.99660
zs_unetblocks.8.z_list.63                     | unetblock  |    0.54539 |    0.83193
zs_unetblocks.8.z_list.64                     | unetblock  |    1.90073 |   -0.27880
zs_unetblocks.8.z_list.65                     | unetblock  |   -0.65741 |    1.14647
zs_unetblocks.8.z_list.66                     | unetblock  |    0.42973 |    0.05813
zs_unetblocks.8.z_list.67                     | unetblock  |    0.83026 |   -0.75455
zs_unetblocks.8.z_list.68                     | unetblock  |   -1.04842 |    1.37252
zs_unetblocks.8.z_list.69                     | unetblock  |    1.21670 |   -0.14110
zs_unetblocks.8.z_list.70                     | unetblock  |   -0.63136 |   -0.26783
zs_unetblocks.8.z_list.71                     | unetblock  |    0.95958 |   -0.64008
zs_unetblocks.8.z_list.72                     | unetblock  |   -0.09966 |   -1.69785
zs_unetblocks.8.z_list.73                     | unetblock  |   -0.69721 |    1.20424
zs_unetblocks.8.z_list.74                     | unetblock  |    1.04888 |   -1.17888
zs_unetblocks.8.z_list.75                     | unetblock  |   -0.38105 |    0.54146
zs_unetblocks.8.z_list.76                     | unetblock  |   -0.75360 |    0.76332
zs_unetblocks.8.z_list.77                     | unetblock  |    0.49692 |   -1.54602
zs_unetblocks.8.z_list.78                     | unetblock  |   -0.14991 |    0.68081
zs_unetblocks.8.z_list.79                     | unetblock  |   -1.40926 |    1.56027
zs_unetblocks.8.z_list.80                     | unetblock  |    0.10247 |    1.65275
zs_unetblocks.8.z_list.81                     | unetblock  |   -0.07679 |    1.77908
zs_unetblocks.8.z_list.82                     | unetblock  |   -1.61067 |    0.93282
zs_unetblocks.8.z_list.83                     | unetblock  |   -0.88934 |    1.27133
zs_unetblocks.8.z_list.84                     | unetblock  |    0.96762 |    2.63896
zs_unetblocks.8.z_list.85                     | unetblock  |    0.87560 |   -0.06063
zs_unetblocks.8.z_list.86                     | unetblock  |    0.40307 |    1.22794
zs_unetblocks.8.z_list.87                     | unetblock  |    0.89926 |    0.37412
